TYPE;string;string;float64;float64;string;float64
PRCW;NUMBER OF SW PROCHLOROCOCCUS;10+6 cell/m3;0;900000;%6.0f;1e36
SNCW;NUMBER OF SW SYNECHOCOCCUS;10+6 cell/m3;0;900000;%6.0f;1e36
MNAS;Na IN THE SEDIMENT;%;0;99;%6.3f;1e36
MNBS;Nb IN THE SEDIMENT;ppm;0;900;%6.2f;1e36
MNDS;Nd IN THE SEDIMENT;ppm;0;900;%6.2f;1e36
MNIS;Ni IN THE SEDIMENT;ppm;0;900;%6.2f;1e36
SLEV;OBSERVED SEA LEVEL;meter;0;6000;%8.3f;1e36
OPAP;OPAL CONTENT;%;0;99.99;%5.2f;1e36
TOMP;ORGANIC MATTER CONTENT;%;0;99.99;%5.2f;1e36
OSMP;ORGANIC SUSPENDED MATTER;gram/m3;0;10;%6.3f;1e36
OSAT;OXYGEN SATURATION;%;0;10;%5.2f;1e36
MPPP;P IN SUSPENDED MATTER;milligram/m3;0;99.999;%6.3f;1e36
MPPS;P IN THE SEDIMENT;%;0;99;%6.3f;1e36
SIOF;PART. BIOGENIC Si FLUX;milligram/(m2.day);0;600;%7.3f;1e36
CO3F;PART. CaCO3 FLUX;milligram/(m2.day);0;600;%7.3f;1e36
POCF;PART. ORGANIC CARBON FLUX;milligram/(m2.day);0;99;%5.2f;1e36
OMMF;PART. ORGANIC MATTER FLUX;milligram/(m2.day);0;600;%6.2f;1e36
PP1P;PART. ORGANIC PHOSPHORUS (P);millimole/m3;0;10;%6.3f;1e36
CHTF;PART. TOTAL CARBOHYDRATES FLUX;milligram/(m2.day);0;99;%6.3f;1e36
TCCF;PART. TOTAL CARBON FLUX;milligram/(m2.day);0;999;%7.3f;1e36
TNNF;PART. TOTAL NITROGEN FLUX;milligram/(m2.day);0;99;%6.3f;1e36
ETHP;PARTICULATE 234 TH ACT. ERROR;Bq/m3;0;99;%6.3f;1e36
TH4P;PARTICULATE 234TH ACTIVTY;Bq/m3;0;99;%6.3f;1e36
